Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 persons","9181.295","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 persons","5509.98","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 persons","5572.14","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 persons","9362.55","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 persons","9539.093","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 persons","5638.262","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 persons","5707.115","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 persons","9712.551","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 persons","9886.31","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 persons","5775.237","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 persons","5842.585","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 persons","10060.527","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","10235.174","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","5909.194","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 persons","5974.947","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 persons","10410.121","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 persons","10585.047","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 persons","6039.811","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6101.055","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10762.37","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
